ID,Nombre,Imagen,RutaCompleta
4458,"Valeri Georgievich Karpin",\\images\\faces\\L-14654.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-14654.png"
4466,"Gheorghe Popescu",\\images\\faces\\L-1394718107.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-1394718107.png"
4481,"Sergi Barjuán Esclusa",\\images\\faces\\L-1113.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-1113.png"
4491,"Dragan Stojković",\\images\\faces\\L-104316.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-104316.png"
4493,"Paulo Manuel Carvalho de Sousa",\\images\\faces\\L-55017334.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-55017334.png"
4497,"Krassimir Balakov",\\images\\faces\\L-14927.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-14927.png"
4500,"Gianluigi Lentini",\\images\\faces\\L-817.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-817.png"
4505,"Francisco Javier González Pérez",\\images\\faces\\L-3258.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-3258.png"
4511,"Thomas Hässler",\\images\\faces\\L-8188.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-8188.png"
4519,"Mark Hughes",\\images\\faces\\L-2019013.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-2019013.png"
4529,"Luis Enrique Martínez García",\\images\\faces\\L-1123.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-1123.png"
4534,"Faustino Hernán Asprilla Hinestroza",\\images\\faces\\L-2001891.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-2001891.png"
4535,"Adrian Bucurel Ilie",\\images\\faces\\L-2014586.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-2014586.png"
4537,"Andreas Herzog",\\images\\faces\\L-15449.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-15449.png"
4539,"Preben Elkjaer Larsen",\\images\\faces\\L-928403.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-928403.png"
4550,"Haim Revivo",\\images\\faces\\L-2467.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-2467.png"
4552,"Igor Protti",\\images\\faces\\L-8443.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-8443.png"
4561,"Rubén Sosa",\\images\\faces\\L-2018936.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-2018936.png"
4569,"Robert Prosinecki",\\images\\faces\\L-2002008.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-2002008.png"
